trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,15,-71.63493572564884,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.95}",30,0,-133.15655698426448,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9}",25,14,-0.34848549704473686,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.85}",20,0,-10.137662962311712,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.8}",20,8,20.385805561739012,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.75}",25,2,-89.8344796681581,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.7}",20,9,4.13624948284458,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",20,0,-82.43557027883983,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6}",25,10,-31.76991873456922,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.55}",20,12,-11.31883787529805,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.5}",20,8,-37.020134164053275,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",30,0,8.08271209117361,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",35,18,-37.30464353527858,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.35}",20,13,10.738653222029598,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",20,4,3.832140572981081,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.25}",35,21,11.62130491098349,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",20,13,-1.0534632357793192,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",25,15,14.449900007204118,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",20,12,9.076449666603292,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",20,13,1.8177647535672505,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,23,12.311525657814908,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,9,24.511517788553736,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,8,22.556907604326703,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,10,31.098605733513846,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,17,16.03363973275835,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,21.548088120879477,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,14,20.99742694972612,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,8,42.80267427011366,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,12,23.883172583671936,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,13,21.280665920085028,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,9,26.759327857310446,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,13,20.663762123210205,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,20,8.590228692073325,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,18,15.732458441549573,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,2,30.69261050192827,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",30,13,30.608695112383955,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,18,14.592431279479854,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,18,11.684662684337699,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,22,-6.237220669850436,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,15,17.97301676537444,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,6,28.90053132957713,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",25,19,11.891840761141328,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,7,26.20570011417076,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",25,18,13.179492291215226,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,13,14.462633059300241,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",25,0,40.784160471243574,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0, 'e': 0}",25,3,39.832177177811076,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",25,8,32.13130889187513,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",30,13,33.77766247504554,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",20,2,28.97764425164298,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",20,6,24.19553212082433,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",30,14,28.87613168145937,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",30,18,20.500923921661464,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",25,14,19.491881615791367,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0, 'e': 0}",20,9,20.798436648668105,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",30,11,37.58641060744717,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",20,7,29.282586978177758,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",20,16,7.722234309234047,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",25,11,25.815112128086334,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",25,15,20.614820013765872,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",25,17,18.168247321221692,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0, 'e': 0}",25,6,33.07321491994979,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",25,8,31.014929748276472,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",25,13,23.306056661595782,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0, 'e': 0}",30,16,25.195065559202067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",20,11,16.99621224187613,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0, 'e': 0}",20,10,16.968312698449218,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",25,13,24.53332706533301,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",25,19,11.330543148259705,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
