trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.43834413789827,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-125.96698056845231,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9801}",25,0,-110.71069921070246,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.970299}",30,0,-141.33225072164188,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-76.86347522973071,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-179.51881707140268,"{0: 9, 1: 3, 2: 10, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-43.26910435955548,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",35,0,-105.04326255404237,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,9.730325415195589,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-167.372466393557,"{0: 14, 1: 3, 2: 2, 3: 5, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-157.66139048258083,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",30,0,-149.51228525235072,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",30,0,-67.77981854043173,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-131.58315135740344,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-105.76333537255,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-121.18675638182832,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",35,26,-8.154276276146216,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.8429431933839268}",30,4,-115.93839349153046,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.8345137614500875}",30,0,-148.6713103913308,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-133.20314488914363,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-87.26170471053597,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8097278682212584}",25,0,-75.7312672309522,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,0,-62.05223230203659,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,17,6.3207227564183155,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-85.32231918556079,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7778213593991467}",30,11,-93.12115847677511,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 2}",1
27,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-94.81213377949655,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,8,-42.90392388620342,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.7547192872036326}",20,6,-16.516051633366942,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-145.90559180501484,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,6,-47.65153272018453,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.7323033696543975}",25,10,-46.22815531100632,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,0,-49.96465763935732,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,0,-121.44490759220484,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.7105532272722921}",25,10,-40.404565274179355,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,13,-109.86853473297613,"{0: 6, 1: 0, 2: 2, 3: 3, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,0,-67.84929736166691,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6894490858690777}",25,0,-52.476374106454614,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
