trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0}",20,7,-91.43721501218315,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1}",25,0,-194.58144364741761,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 2}",30,0,-154.78396683016774,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 3}",25,4,-174.00730620587623,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 4}",20,0,-81.89615089423806,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 5}",20,0,-86.6497770597701,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 6}",25,0,-187.43542460187706,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 7}",20,0,-158.54594857981726,"{0: 10, 1: 5, 2: 1, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 8}",25,0,-47.90636946607399,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 9}",25,0,-201.00059423272063,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 10}",25,10,-77.81704192617643,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 11}",20,0,-62.208736852425126,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 12}",20,9,-47.811445268066784,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 13}",20,0,-142.6258490823809,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 14}",25,0,-52.717901627569965,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 15}",30,0,-114.32071130687054,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 16}",20,0,-22.97124739949767,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 17}",20,0,-95.1276318819895,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 18}",20,0,-123.17137461512387,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 19}",20,0,-111.62340774291569,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-155.90396959911507,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
